id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedroom,bed,bath,is_studio,type
860930792907175362,508244994,Maria Noelia,,San Cristobal,-34.6274024,-58.3996593,Entire home/apt,6843,2,5,2023-06-08,1.83,1,164,5,,4.80,1,1,1,False,Rental unit 
860934131085567197,489026440,Sandra Beatriz,,Almagro,-34.606323448718186,-58.41406949181271,Entire home/apt,6040,1,0,,,1,365,0,,,1,1,1,False,Rental unit 
860935973254146257,187124880,Evelyn,,Almagro,-34.6000135,-58.4123393,Entire home/apt,6588,2,13,2023-06-23,4.87,2,318,13,,4.92,1,2,1,False,Rental unit 
860946265869401859,34229727,Leandro,,Recoleta,-34.5967079,-58.39484210000001,Entire home/apt,25000,7,3,2023-06-24,2.73,1,196,3,,5.0,3,4,1.5,False,Rental unit 
860952140631842815,298874610,Pablo,,Flores,-34.6269898,-58.4619738,Entire home/apt,7643,7,0,,,32,150,0,,,1,1,1,False,Rental unit 
860958602555483885,123041681,María Soledad,,Villa Crespo,-34.5942794,-58.4425066,Entire home/apt,6733,1,14,2023-05-19,5.12,1,36,14,,5.0,1,1,1,False,Condo 
860971691368776927,92325617,Javi,,Palermo,-34.59620290000001,-58.41675110000001,Entire home/apt,8703,3,4,2023-05-30,1.56,24,347,4,,4.0,1,2,1,False,Rental unit 
860974019909753020,152250032,Ayelen,,Villa Devoto,-34.5931031970508,-58.50752740135944,Entire home/apt,6369,2,11,2023-06-25,4.02,1,342,11,,5.0,1,1,1,False,Rental unit 
860974063270713230,441482178,Santiago,,San Nicolas,-34.59991120789425,-58.38525757754312,Entire home/apt,12738,1,3,2023-05-30,1.53,83,352,3,,4.0,1,2,1,True,Rental unit 
860980750283633612,8881156,Sebastian,,Villa Gral. Mitre,-34.61385266519386,-58.46885270422796,Entire home/apt,5910,5,0,,,2,331,0,,,1,1,1,False,Home 
861009182361114963,80985348,Maximiliano,,Recoleta,-34.58882750315299,-58.393417807267305,Entire home/apt,10190,3,2,2023-05-29,0.74,13,352,2,,,1,2,1,False,Rental unit 
861013393620805269,11256892,HomelyJoy,,Retiro,-34.58688,-58.3829,Entire home/apt,7898,2,5,2023-06-18,2.59,132,161,5,,5.0,1,1,1,False,Rental unit 
861014610498173130,13100569,Katia,,Palermo,-34.5766536,-58.43744479999999,Entire home/apt,9454,4,0,,,2,337,0,,,1,2,1.5,False,T
861025360445961476,505678866,Karla,,San Nicolas,-34.60030585718104,-58.374603152838624,Entire home/apt,14850,2,4,2023-06-20,2.26,1,307,4,,5.0,2,4,2,False,Rental unit 
861025664504023875,508268461,Astrid,,Monserrat,-34.611622119909406,-58.37372542703792,Entire home/apt,9709,2,8,2023-06-18,3.04,1,257,8,,5.0,1,1,1,False,Condo 
861034228741157196,22028039,Diego,,Balvanera,-34.60299601164341,-58.393268937632406,Entire home/apt,20381,5,0,,,1,356,0,,New,2,3,1,False,Rental unit 
861036384629429279,80985348,Maximiliano,,Retiro,-34.594999868827784,-58.38696581094095,Entire home/apt,12775,3,1,2023-05-28,0.91,13,350,1,,,2,2,2,False,Rental unit 
861045464133785901,508272215,Patricia,,Belgrano,-34.55796634715482,-58.45760059997572,Entire home/apt,7388,2,1,2023-05-01,0.51,1,319,1,,,1,1,1,False,Rental unit 
861057070231067081,508275362,Yasmin,,Almagro,-34.60894,-58.42721,Entire home/apt,10700,1,2,2023-05-18,0.75,1,179,2,,,1,1,1,False,Rental unit 
861057355834188516,441482178,Santiago,,San Nicolas,-34.59942,-58.387,Entire home/apt,12738,1,1,2023-05-21,0.77,83,363,1,,,1,2,1,True,Rental unit 
861095848601057084,26096121,Rodrigo,,Recoleta,-34.59790343421987,-58.41242635819248,Entire home/apt,6392,1,6,2023-06-20,2.2,1,11,6,,4.0,1,1,1,False,Rental unit 
861100600628965327,7822377,Maria Eugenia,,Chacarita,-34.58359646167941,-58.44500778797428,Entire home/apt,6132,3,9,2023-06-21,3.25,2,350,9,,5.0,1,1,1,False,Rental unit 
861118026202438085,76840368,Rentals Buenos Aires,,San Telmo,-34.61682957170668,-58.368153915072845,Entire home/apt,12771,2,5,2023-06-11,1.83,15,80,5,,4.40,1,1,1,True,Rental unit 
861398188153282655,140228835,Luciana,,Belgrano,-34.5660673,-58.44921419999999,Entire home/apt,14921,1,1,2023-04-09,0.37,1,305,1,,,2,5,1,False,Rental unit 
861411783761506841,113221419,Manuela,,Palermo,-34.581239,-58.4265542,Entire home/apt,10220,3,4,2023-06-13,2.45,12,144,4,,4.75,1,1,1.5,False,Rental unit 
861412430196382208,154901519,Rosario,,Palermo,-34.5766,-58.43815,Entire home/apt,14308,3,0,,,4,235,0,,,1,1,1,False,Rental unit 
861421377756139058,508340174,Leonardo,,Balvanera,-34.6073177,-58.3937073,Entire home/apt,7600,2,0,,,1,259,0,,,1,3,1,False,Rental unit 
861430564324735937,137667992,Valeria,,Palermo,-34.5802897,-58.43474759999999,Entire home/apt,11498,5,4,2023-06-12,1.94,70,45,4,,4.75,1,1,1,False,Rental unit 
861433463367155783,51699880,Lorena,,Caballito,-34.60628,-58.43205,Entire home/apt,8917,3,0,,,146,82,0,,,1,2,1,False,Rental unit 
861436403162268820,51699880,Lorena,,Caballito,-34.60644552680828,-58.43192585510049,Entire home/apt,8917,3,0,,,146,63,0,,,1,2,1,False,Rental unit 
861442691032018896,51699880,Lorena,,Caballito,-34.60662,-58.43161,Entire home/apt,8917,3,0,,,146,90,0,,,1,2,1,False,Rental unit 
861444472840210008,51699880,Lorena,,Caballito,-34.60488650698968,-58.43227350678764,Entire home/apt,8917,3,1,2023-05-21,0.77,146,90,1,,,1,2,1,False,Rental unit 
861445350180198733,2017830,Barbara,,Colegiales,-34.57555105209143,-58.445877840596864,Entire home/apt,7658,3,0,,,39,295,0,,,1,2,1,False,Rental unit 
861446539580202683,51699880,Lorena,,Caballito,-34.60641,-58.43192,Entire home/apt,6879,3,0,,,146,90,0,,,1,2,1,False,Rental unit 
861459137715487101,334271335,Cecilia,,Villa Crespo,-34.596678781628874,-58.44170303217015,Entire home/apt,16559,1,0,,,67,362,0,,,1,1,1,False,Rental unit 
